round,client_id,epoch,train_loss,val_loss,der,acc
18,2,5,69.62761688232422,,0.41711398800126315,0.46583564173591874
19,2,1,1.5751192569732666,,0.39999999999999997,0.3333333333333333
19,2,2,134.55210876464844,,0.4000000000000054,0.3333333333333333
19,2,3,10.68095588684082,,0.4123876123876218,0.3126873126873127
19,2,4,1.9180991649627686,,0.3722277722277809,0.3786213786213786
19,2,5,2.857861280441284,,0.39780219780220694,0.336996336996337
20,2,1,1.4553046226501465,,0.43069150615725516,0.41043397968605727
20,2,2,4.867247104644775,,0.34449005367856034,0.5715604801477377
20,2,3,42.62645721435547,,0.6305652036627859,0.07802400738688828
20,2,4,151.3594512939453,,0.3678560151563072,0.4621421975992613
20,2,5,30.519916534423828,,0.36785601515629934,0.4621421975992613
1,3,1,3.4541866779327393,,1.132101300479124,0.0
1,3,2,243.8028564453125,,0.9917864476386036,0.0
1,3,3,6353.947265625,,1.0184804928131415,0.0
1,3,4,2202.89794921875,,0.026009582477755016,0.973990417522245
1,3,5,96.42464447021484,,0.0349075975359344,0.9650924024640657
2,3,1,11.516204833984375,,0.46166166166166184,0.24724356832609423
2,3,2,354.7071533203125,,0.39819819819819824,0.3334447043100568
2,3,3,1028.2431640625,,0.4008008008008098,0.331105913798864
2,3,4,314.5242614746094,,0.6066066066066202,0.0013364517206815904
2,3,5,2046.634765625,,0.3987987987988078,0.33043768793852324
3,3,1,1.979015827178955,,0.36817177139249285,0.4616805170821791
3,3,2,165.24713134765625,,0.4407957057151878,0.43998153277931673
3,3,3,488.0271301269531,,0.4063782759709504,0.4621421975992613
3,3,4,1696.77978515625,,0.40543100726240233,0.4233610341643583
3,3,5,24566.470703125,,0.36785601515629934,0.4621421975992613
4,3,1,1.6215466260910034,,0.36311967161351416,0.469067405355494
4,3,2,19.987388610839844,,0.3163877486580363,0.5983379501385041
4,3,3,48.94053649902344,,0.36785601515629934,0.4621421975992613
4,3,4,162.84913635253906,,0.3618566466687798,0.4713758079409049
4,3,5,2124.61376953125,,0.3678560151563072,0.4621421975992613
5,3,1,2.137289524078369,,0.4009990009990101,0.33166833166833165
5,3,2,1962.5552978515625,,0.4000000000000054,0.3333333333333333
5,3,3,98.71324157714844,,0.3998001998002053,0.3336663336663337
5,3,4,35.872493743896484,,0.337062937062937,0.4382284382284382
5,3,5,214.3430938720703,,0.40019980019980933,0.333000333000333
6,3,1,1.5582079887390137,,0.3703820650457904,0.4584487534626039
6,3,2,166.61073303222656,,0.36627723397537115,0.4649122807017544
6,3,3,856.9693603515625,,0.4041679823176508,0.4090489381348107
6,3,4,151.02320861816406,,0.3681717713924907,0.4616805170821791
6,3,5,215.46987915039062,,0.39216924534260145,0.4935364727608495
7,3,1,2.0195252895355225,,0.41742974423745716,0.3896583564173592
7,3,2,1588.874267578125,,0.3678560151563072,0.4621421975992613
7,3,3,81.4018783569336,,0.36785601515630506,0.4621421975992613
7,3,4,102.2176742553711,,0.36785601515629934,0.4621421975992613
7,3,5,23.670989990234375,,0.35838332807073725,0.5614035087719298
8,3,1,1.6759639978408813,,0.34733185980423503,0.5078485687903971
8,3,2,1567.44775390625,,0.371960846226718,0.4621421975992613
8,3,3,18.062503814697266,,0.38048626460372603,0.44367497691597413
8,3,4,29.349245071411133,,0.36848752762867854,0.46121883656509693
8,3,5,122.74652099609375,,0.4196400378907484,0.4621421975992613
9,3,1,2.269193410873413,,0.30030030030029975,0.34647510858670233
9,3,2,440.8384094238281,,0.26726726726727085,0.5539592382225192
9,3,3,73.76130676269531,,0.39879879879880425,0.3341129301703976
9,3,4,18.48068618774414,,0.3923923923923975,0.3451386568660207
9,3,5,260.88568115234375,,0.39879879879879876,0.334447043100568
10,3,1,2.2106289863586426,,0.36785601515629934,0.4621421975992613
10,3,2,215.645263671875,,0.36848752762867854,0.46121883656509693
10,3,3,115.96564483642578,,0.3678560151563072,0.4621421975992613
10,3,4,20.560565948486328,,0.36785601515630506,0.4621421975992613
10,3,5,22.054105758666992,,0.41679823176508624,0.4662973222530009
11,3,1,2.098111867904663,,0.5304585900068443,0.46954140999315536
11,3,2,0.34266728162765503,,0.026694045174537905,0.973305954825462
11,3,3,8.09061336517334,,0.27036276522929475,0.729637234770705
11,3,4,116.77613830566406,,0.026009582477755016,0.973990417522245
11,3,5,27.875885009765625,,0.026009582477754964,0.973990417522245
12,3,1,2.1923577785491943,,0.4008008008008098,0.331105913798864
12,3,2,337.53375244140625,,0.400600600600606,0.3314400267290344
12,3,3,5.2782721519470215,,0.49509509509510174,0.09355162044771133
12,3,4,2.0893943309783936,,0.43183183183183765,0.26996324757768125
12,3,5,3.690826177597046,,0.39659659659659663,0.3381222853324424
13,3,1,2.0041286945343018,,0.36659299021155667,0.46398891966759004
